Date,Number_of_Vehicles,Vehicle_Speed,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Chainage(km),Accident_Severity,No_of_accidents
20-01-2017,2,90,7,1,1,43,3,2
20-01-2017,2,40,1,1,1,4,3,3
20-01-2017,2,40,1,1,4,29,3,1
20-01-2017,2,50,1,1,2,17,3,1
20-01-2017,2,60,1,1,1,41,3,3
20-01-2017,2,70,1,1,1,12,3,1
20-01-2017,2,70,4,1,2,36,2,1
20-01-2017,2,20,1,1,1,33,3,1
20-01-2017,2,20,4,1,1,26,3,1
20-01-2017,2,90,1,1,1,21,3,2
20-01-2017,2,90,4,1,1,43,3,1
20-01-2017,2,20,1,1,1,2,3,1
20-01-2017,2,20,1,9,-1,11,3,1
20-01-2017,2,90,1,1,1,27,3,8
20-01-2017,2,90,4,1,1,2,3,3
20-01-2017,2,90,4,1,2,5,3,1
20-01-2017,2,90,4,1,4,38,3,2
20-01-2017,2,40,1,1,1,42,3,2
20-01-2017,2,40,1,8,4,15,2,1
20-01-2017,2,40,4,1,1,8,2,2
20-01-2017,2,50,1,1,1,40,3,2
20-01-2017,2,50,4,1,1,16,3,1
20-01-2017,2,50,4,1,2,4,3,1
20-01-2017,2,50,4,7,2,14,3,1
20-01-2017,2,50,4,9,1,46,3,1
20-01-2017,2,60,1,1,1,42,3,1
20-01-2017,2,60,4,8,4,1,3,1
20-01-2017,2,70,1,1,1,49,3,1
20-01-2017,2,70,1,1,2,48,3,2
20-01-2017,2,70,4,1,1,32,3,1
20-01-2017,2,70,4,1,2,38,3,1
20-01-2017,2,70,6,1,1,5,2,4
20-01-2017,2,70,6,8,2,47,3,1
20-01-2017,2,20,1,1,1,33,3,9
20-01-2017,2,20,1,1,4,12,3,1
20-01-2017,2,20,4,1,1,13,3,3
20-01-2017,2,90,1,1,1,19,3,55
20-01-2017,2,90,1,1,2,20,3,12
20-01-2017,2,90,1,1,3,26,3,1
20-01-2017,2,90,1,1,4,45,3,8
20-01-2017,2,90,1,7,2,35,3,1
20-01-2017,2,90,1,8,1,7,3,1
20-01-2017,2,90,1,8,2,50,3,1
20-01-2017,2,90,1,8,4,39,3,1
20-01-2017,2,90,1,9,-1,30,3,1
20-01-2017,2,90,1,9,1,5,3,5
20-01-2017,2,90,4,1,1,27,3,31
20-01-2017,2,90,4,1,2,21,3,5
20-01-2017,2,90,4,1,4,21,3,6
20-01-2017,2,90,4,2,2,27,3,2
20-01-2017,2,90,4,8,-1,42,2,1
20-01-2017,2,90,4,8,2,4,3,1
20-01-2017,2,90,4,8,4,42,3,2
20-01-2017,2,90,4,9,-1,39,3,1
20-01-2017,2,90,4,9,1,35,3,1
20-01-2017,2,90,6,1,1,6,3,1
20-01-2017,2,90,6,1,4,36,3,1
20-01-2017,2,90,6,9,2,24,3,1
20-01-2017,2,90,7,1,1,15,3,5
20-01-2017,2,90,7,1,2,32,3,2
20-01-2017,2,90,7,9,1,40,3,1
20-01-2017,2,40,1,1,1,46,3,2
20-01-2017,2,40,1,1,2,1,3,1
20-01-2017,2,40,1,1,4,49,3,1
20-01-2017,2,40,1,8,2,34,3,1
20-01-2017,2,40,4,1,1,19,3,1
20-01-2017,2,40,4,1,4,29,3,1
20-01-2017,2,40,6,1,1,15,3,3
20-01-2017,2,50,1,1,1,43,3,4
20-01-2017,2,50,4,1,1,50,3,1
20-01-2017,2,50,4,1,2,13,3,1
20-01-2017,2,50,6,1,1,46,2,1
20-01-2017,2,50,6,1,2,27,3,1
20-01-2017,2,60,1,1,1,42,3,6
20-01-2017,2,60,1,1,2,6,3,1
20-01-2017,2,60,1,1,4,28,2,4
20-01-2017,2,60,1,7,2,32,3,2
20-01-2017,2,60,4,1,1,2,3,1
20-01-2017,2,60,4,7,4,9,3,1
20-01-2017,2,60,6,1,1,12,3,5
20-01-2017,2,60,6,1,2,14,3,2
20-01-2017,2,60,6,1,4,34,3,2
20-01-2017,2,60,6,8,4,21,3,1
20-01-2017,2,20,4,1,2,49,3,1
20-01-2017,2,90,1,1,1,48,3,1
20-01-2017,2,40,7,1,2,24,3,1
20-01-2017,2,70,4,1,1,28,2,1
20-01-2017,2,90,1,1,-1,2,3,1
20-01-2017,2,90,4,8,1,47,2,1
20-01-2017,2,90,4,9,1,34,3,1
20-01-2017,3,90,4,1,1,38,3,1
20-01-2017,3,60,1,1,2,40,3,1
20-01-2017,3,90,4,1,1,37,3,1
20-01-2017,3,40,1,1,1,43,3,1
20-01-2017,3,40,4,1,1,44,3,1
20-01-2017,3,50,1,1,1,3,3,2
20-01-2017,3,70,1,1,1,35,3,4
20-01-2017,3,70,4,1,1,19,2,2
20-01-2017,3,70,6,1,1,32,3,2
20-01-2017,3,70,6,7,2,32,2,1
20-01-2017,3,20,1,1,1,3,3,2
20-01-2017,3,20,1,1,2,30,3,1
20-01-2017,3,90,1,1,1,26,3,7
20-01-2017,3,90,1,1,2,42,3,2
20-01-2017,3,90,1,9,1,42,3,1
20-01-2017,3,90,4,1,1,19,3,5
20-01-2017,3,90,4,7,2,39,3,1
20-01-2017,3,90,4,8,4,48,3,1
20-01-2017,3,40,1,1,1,38,2,2
20-01-2017,3,40,1,1,4,23,3,1
20-01-2017,3,40,4,1,1,35,3,1
20-01-2017,3,40,4,1,2,50,3,1
20-01-2017,3,50,1,1,1,6,3,1
20-01-2017,3,60,1,1,1,45,3,5
20-01-2017,3,60,1,1,4,10,2,1
20-01-2017,3,70,6,1,2,15,3,1
20-01-2017,3,90,4,9,-1,13,3,1
20-01-2017,3,50,1,1,1,36,3,1
20-01-2017,4,90,4,8,2,18,3,1
20-01-2017,4,40,4,1,1,40,2,1
20-01-2017,4,50,1,1,1,19,3,1
20-01-2017,4,70,4,1,1,31,3,1
20-01-2017,4,90,1,1,1,39,3,2
20-01-2017,4,60,1,7,2,39,3,1
20-02-2017,1,90,1,1,1,16,2,3
20-02-2017,1,90,1,1,2,5,3,1
20-02-2017,1,20,1,1,1,4,3,1
20-02-2017,1,90,1,1,1,36,3,1
20-02-2017,1,90,1,2,2,15,3,1
20-02-2017,1,90,1,9,-1,6,3,1
20-02-2017,1,90,4,1,2,16,3,1
20-02-2017,1,90,1,1,1,16,3,3
20-02-2017,1,90,1,9,-1,45,3,1
20-02-2017,1,90,4,1,1,41,3,1
20-02-2017,1,70,6,7,2,27,3,1
20-02-2017,1,20,1,1,1,18,3,5
20-02-2017,1,20,1,9,1,26,3,1
20-02-2017,1,20,4,1,1,25,3,1
20-02-2017,1,20,4,1,2,40,3,1
20-02-2017,1,90,1,1,1,28,3,20
20-02-2017,1,90,1,1,2,26,3,3
20-02-2017,1,90,1,2,2,28,3,4
20-02-2017,1,90,1,8,2,44,3,1
20-02-2017,1,90,4,1,1,49,3,12
20-02-2017,1,90,4,1,2,31,2,2
20-02-2017,1,90,6,1,1,33,2,2
20-02-2017,1,40,1,1,1,27,3,2
20-02-2017,1,40,4,1,1,16,3,1
20-02-2017,1,40,4,1,2,39,3,1
20-02-2017,1,40,4,2,2,1,3,1
20-02-2017,1,40,6,2,2,26,3,1
20-02-2017,1,50,1,1,1,31,3,2
20-02-2017,1,50,6,1,1,42,3,2
20-02-2017,1,60,1,1,1,32,3,6
20-02-2017,1,60,1,1,2,20,2,3
20-02-2017,1,60,1,7,2,14,3,1
20-02-2017,1,60,1,9,1,37,3,1
20-02-2017,1,60,4,1,1,25,3,1
20-02-2017,1,60,6,1,1,40,3,2
20-02-2017,1,60,6,1,2,27,3,1
20-02-2017,1,20,1,1,1,10,3,1
20-02-2017,1,90,1,1,-1,4,3,1
20-02-2017,1,90,1,1,1,12,3,1
20-02-2017,2,20,1,1,1,48,3,1
20-02-2017,2,90,1,1,1,24,3,7
20-02-2017,2,90,1,4,1,27,3,1
20-02-2017,2,90,4,1,1,36,3,1
20-02-2017,2,90,4,2,2,15,3,2
20-02-2017,2,40,1,1,1,39,3,3
20-02-2017,2,60,1,1,1,10,3,2
20-02-2017,2,60,6,1,1,18,3,1
20-02-2017,2,70,1,1,1,23,3,1
20-02-2017,2,20,1,1,1,50,3,1
20-02-2017,2,20,5,1,1,36,3,1
20-02-2017,2,90,1,1,-1,29,3,1
20-02-2017,2,90,1,1,1,43,3,5
20-02-2017,2,90,4,1,1,46,3,2
20-02-2017,2,20,1,1,1,22,3,1
20-02-2017,2,90,1,1,1,18,2,6
20-02-2017,2,90,1,2,2,28,3,1
20-02-2017,2,90,1,8,2,10,3,1
20-02-2017,2,90,1,9,-1,43,3,1
20-02-2017,2,90,4,1,1,16,2,2
20-02-2017,2,40,1,1,1,25,3,4
20-02-2017,2,40,1,2,1,1,3,1
20-02-2017,2,40,4,1,1,23,3,2
20-02-2017,2,50,1,1,1,1,3,1
20-02-2017,2,50,4,1,1,29,3,1
20-02-2017,2,60,1,1,1,40,2,1
20-02-2017,2,60,1,2,2,32,3,1
20-02-2017,2,70,1,1,1,1,3,3
20-02-2017,2,70,1,2,2,25,3,1
20-02-2017,2,70,4,1,1,41,3,1
20-02-2017,2,70,6,1,1,36,2,1
20-02-2017,2,20,1,1,1,41,3,5
20-02-2017,2,20,4,1,1,42,3,3
20-02-2017,2,90,1,1,1,17,3,58
20-02-2017,2,90,1,1,2,6,3,4
20-02-2017,2,90,1,2,2,17,3,4
20-02-2017,2,90,1,4,1,35,3,3
20-02-2017,2,90,1,9,-1,26,2,1
20-02-2017,2,90,4,1,1,33,3,17
20-02-2017,2,90,4,2,2,18,3,2
20-02-2017,2,90,4,8,2,14,3,1
20-02-2017,2,90,4,9,1,17,3,2
20-02-2017,2,90,5,1,1,26,3,2
20-02-2017,2,90,6,1,2,31,2,1
20-02-2017,2,90,7,1,1,22,3,1
20-02-2017,2,40,1,1,1,14,3,8
20-02-2017,2,40,1,1,2,26,3,1
20-02-2017,2,40,6,1,1,47,3,1
20-02-2017,2,40,7,1,1,21,3,1
20-02-2017,2,50,1,1,1,39,3,1
20-02-2017,2,50,1,1,2,35,3,1
20-02-2017,2,50,4,1,2,18,3,1
20-02-2017,2,50,6,1,1,36,3,1
20-02-2017,2,60,1,1,1,26,3,11
20-02-2017,2,60,1,1,2,22,3,5
20-02-2017,2,60,1,2,2,26,3,2
20-02-2017,2,60,1,8,2,4,3,1
20-02-2017,2,60,6,1,1,11,3,2
20-02-2017,2,60,6,7,2,40,3,1
20-02-2017,2,60,6,9,2,13,3,1
20-02-2017,2,90,1,1,1,12,2,2
20-02-2017,2,90,1,2,2,27,3,1
20-02-2017,2,90,4,1,1,37,3,1
20-02-2017,2,60,1,1,1,32,3,1
20-02-2017,2,70,1,1,1,11,3,1
20-02-2017,2,70,4,1,1,49,3,1
20-02-2017,2,90,1,1,1,7,3,1
20-02-2017,2,90,1,2,2,33,3,1
20-02-2017,2,90,4,1,1,43,3,1
20-02-2017,3,50,1,1,1,7,3,1
20-02-2017,3,90,4,1,1,9,3,1
20-02-2017,3,50,1,1,1,11,3,1
20-02-2017,3,70,1,1,1,3,3,1
20-02-2017,3,70,4,1,1,33,2,1
20-02-2017,3,20,1,1,1,17,1,1
20-02-2017,3,90,1,1,1,13,3,7
20-02-2017,3,90,1,2,2,36,3,2
20-02-2017,3,90,4,1,1,6,3,2
20-02-2017,3,40,1,1,1,30,3,1
20-02-2017,3,60,1,1,1,39,3,1
20-02-2017,3,60,1,2,2,4,3,1
20-02-2017,4,90,4,2,2,28,3,1
20-02-2017,4,90,7,1,1,9,3,1
20-02-2017,4,50,1,1,1,2,3,1
20-02-2017,5,70,6,1,1,39,3,1
20-02-2017,5,90,4,2,2,9,3,1
20-02-2017,5,60,1,2,2,17,3,1
20-02-2017,7,70,1,1,1,26,3,1
20-03-2017,1,90,1,1,1,44,2,1
20-03-2017,1,90,1,2,2,3,3,1
20-03-2017,1,60,1,1,2,41,3,1
20-03-2017,1,20,1,1,1,28,3,1
20-03-2017,1,20,4,4,1,41,2,1
20-03-2017,1,90,1,1,1,22,3,2
20-03-2017,1,90,1,1,2,23,3,1
20-03-2017,1,90,1,4,2,50,3,1
20-03-2017,1,90,4,1,1,41,3,1
20-03-2017,1,90,4,2,2,39,3,1
20-03-2017,1,90,1,1,1,10,3,3
20-03-2017,1,90,1,2,2,49,3,3
20-03-2017,1,90,1,8,2,45,3,1
20-03-2017,1,90,4,1,1,19,3,1
20-03-2017,1,90,4,1,2,23,3,1
20-03-2017,1,40,1,2,2,31,3,1
20-03-2017,1,40,1,4,1,39,3,1
20-03-2017,1,50,1,1,1,6,3,1
20-03-2017,1,60,4,2,2,44,3,1
20-03-2017,1,70,1,1,1,27,3,2
20-03-2017,1,70,1,5,2,49,3,1
20-03-2017,1,70,4,1,1,18,3,1
20-03-2017,1,20,1,1,1,2,3,9
20-03-2017,1,20,1,1,2,46,3,1
20-03-2017,1,20,1,2,2,37,3,1
20-03-2017,1,90,1,1,1,33,3,15
20-03-2017,1,90,1,1,2,32,3,6
20-03-2017,1,90,1,2,2,25,3,8
20-03-2017,1,90,1,4,2,17,3,1
20-03-2017,1,90,1,5,2,36,3,1
20-03-2017,1,90,1,8,2,9,3,1
20-03-2017,1,90,4,1,1,42,3,6
20-03-2017,1,90,4,1,2,46,3,2
20-03-2017,1,90,4,2,2,21,3,1
20-03-2017,1,90,4,8,2,25,2,1
20-03-2017,1,90,4,9,1,29,3,1
20-03-2017,1,90,5,1,1,26,3,1
20-03-2017,1,90,5,1,2,5,3,1
20-03-2017,1,40,1,1,2,28,3,1
20-03-2017,1,40,1,2,2,40,3,1
20-03-2017,1,50,1,1,2,31,2,1
20-03-2017,1,50,1,2,2,43,3,1
20-03-2017,1,60,1,1,1,2,3,1
20-03-2017,1,60,1,1,2,17,2,3
20-03-2017,1,60,1,2,2,20,3,2
20-03-2017,1,60,1,5,2,28,3,2
20-03-2017,1,60,4,9,2,5,3,1
20-03-2017,1,60,6,1,2,37,2,2
20-03-2017,1,60,6,8,2,43,3,1
20-03-2017,1,60,7,1,2,16,3,1
20-03-2017,1,20,1,1,1,8,2,1
20-03-2017,1,70,4,1,2,17,3,1
20-03-2017,1,90,1,1,1,26,3,1
20-03-2017,1,90,1,1,2,42,3,1
20-03-2017,1,60,6,1,1,6,3,1
20-03-2017,2,90,1,1,1,20,3,5
20-03-2017,2,90,1,1,2,47,3,1
20-03-2017,2,90,1,2,2,5,3,2
20-03-2017,2,90,4,1,1,42,3,2
20-03-2017,2,90,4,2,2,40,3,3
20-03-2017,2,40,1,1,1,30,3,3
20-03-2017,2,40,1,2,2,24,3,1
20-03-2017,2,90,4,1,1,19,3,1
20-03-2017,2,20,1,1,1,18,3,1
20-03-2017,2,20,1,2,2,6,3,1
20-03-2017,2,90,1,1,1,26,3,3
20-03-2017,2,90,1,2,2,8,3,1
20-03-2017,2,90,1,5,2,3,3,1
20-03-2017,2,90,4,1,1,49,3,1
20-03-2017,2,40,1,1,1,40,3,2
20-03-2017,2,40,1,1,2,3,3,1
20-03-2017,2,50,1,1,1,30,3,1
20-03-2017,2,50,1,1,2,44,3,1
20-03-2017,2,50,4,1,1,28,2,1
20-03-2017,2,50,6,2,2,46,3,1
20-03-2017,2,70,1,1,1,5,3,2
20-03-2017,2,70,1,1,2,16,3,1
20-03-2017,2,70,5,2,2,4,3,1
20-03-2017,2,70,7,5,2,21,3,1
20-03-2017,2,20,1,1,1,33,3,2
20-03-2017,2,20,1,1,2,2,3,3
20-03-2017,2,20,1,2,2,44,3,2
20-03-2017,2,20,1,8,2,36,3,1
20-03-2017,2,90,1,1,1,12,3,40
20-03-2017,2,90,1,1,2,11,3,12
20-03-2017,2,90,1,2,1,6,3,1
20-03-2017,2,90,1,2,2,32,3,18
20-03-2017,2,90,1,4,1,45,3,2
20-03-2017,2,90,1,8,1,14,3,1
20-03-2017,2,90,1,9,-1,31,2,1
20-03-2017,2,90,1,9,1,47,3,1
20-03-2017,2,90,4,1,1,10,3,11
20-03-2017,2,90,4,1,2,45,3,5
20-03-2017,2,90,4,2,2,27,3,2
20-03-2017,2,90,4,4,1,8,3,1
20-03-2017,2,90,4,5,2,1,3,1
20-03-2017,2,90,4,8,2,40,2,1
20-03-2017,2,90,7,1,1,43,3,1
20-03-2017,2,40,1,1,1,18,3,7
20-03-2017,2,40,1,1,2,26,3,2
20-03-2017,2,40,1,2,2,30,3,1
20-03-2017,2,40,1,4,2,47,3,1
20-03-2017,2,40,1,5,2,26,2,1
20-03-2017,2,40,1,9,1,47,3,1
20-03-2017,2,50,1,1,1,25,3,1
20-03-2017,2,50,1,2,2,40,3,1
20-03-2017,2,50,1,9,1,12,3,1
20-03-2017,2,60,1,1,1,4,3,6
20-03-2017,2,60,1,1,2,14,3,2
20-03-2017,2,60,1,2,2,1,3,6
20-03-2017,2,60,1,4,1,23,3,1
20-03-2017,2,60,6,1,2,49,2,1
20-03-2017,2,90,1,1,1,25,3,1
20-03-2017,2,90,4,9,-1,14,3,1
20-03-2017,3,90,1,1,1,48,3,1
20-03-2017,3,90,1,8,2,46,3,1
20-03-2017,3,70,1,1,1,31,3,1
20-03-2017,3,70,1,1,1,25,3,1
20-03-2017,3,70,1,2,2,37,3,1
20-03-2017,3,20,1,2,2,38,3,1
20-03-2017,3,90,1,1,1,15,3,5
20-03-2017,3,90,1,1,2,43,3,3
20-03-2017,3,90,1,2,2,38,3,1
20-03-2017,3,90,4,1,1,40,3,2
20-03-2017,3,90,4,1,2,21,3,1
20-03-2017,3,40,1,1,1,50,3,1
20-03-2017,3,60,1,1,1,8,3,3
20-03-2017,3,60,1,1,2,4,3,2
20-03-2017,3,60,6,5,2,28,3,1
20-03-2017,4,70,6,8,4,34,3,1
20-03-2017,4,90,1,1,1,2,3,2
20-03-2017,4,50,1,4,2,10,3,1
20-03-2017,4,60,1,1,1,7,3,1
20-03-2017,4,60,1,1,1,26,3,1
20-03-2017,6,70,1,1,1,23,3,1
20-03-2017,9,70,1,1,1,1,3,1
20-04-2017,1,90,1,1,1,24,1,1
20-04-2017,1,90,1,1,1,2,3,3
20-04-2017,1,90,1,1,1,18,3,6
20-04-2017,1,40,1,1,1,34,2,3
20-04-2017,1,50,1,1,1,45,3,1
20-04-2017,1,20,1,1,1,10,3,7
20-04-2017,1,20,4,1,1,10,3,2
20-04-2017,1,90,1,1,1,39,3,39
20-04-2017,1,90,1,1,2,9,3,1
20-04-2017,1,90,1,9,-1,50,3,1
20-04-2017,1,90,1,9,1,45,2,1
20-04-2017,1,90,4,1,1,35,3,5
20-04-2017,1,90,6,1,1,9,3,3
20-04-2017,1,90,7,1,1,14,3,1
20-04-2017,1,40,1,1,1,1,3,3
20-04-2017,1,50,1,1,1,8,3,1
20-04-2017,1,60,1,1,1,32,3,5
20-04-2017,1,60,1,4,1,39,3,1
20-04-2017,1,60,6,1,1,13,3,4
20-04-2017,1,50,4,1,1,22,3,1
20-04-2017,1,90,1,9,-1,21,3,1
20-04-2017,2,90,1,1,1,32,3,8
20-04-2017,2,90,1,2,2,19,3,1
20-04-2017,2,90,4,1,1,34,3,2
20-04-2017,2,90,5,1,1,4,3,1
20-04-2017,2,40,1,1,1,40,2,4
20-04-2017,2,50,1,1,1,41,3,2
20-04-2017,2,60,1,1,1,11,3,1
20-04-2017,2,20,1,1,1,34,3,3
20-04-2017,2,90,1,1,1,11,3,6
20-04-2017,2,90,4,1,1,5,3,1
20-04-2017,2,40,1,1,1,21,3,4
20-04-2017,2,50,1,1,1,35,3,3
20-04-2017,2,60,1,1,1,12,3,1
20-04-2017,2,60,1,9,1,40,3,1
20-04-2017,2,70,1,1,1,23,3,4
20-04-2017,2,70,5,1,1,28,3,1
20-04-2017,2,70,7,1,1,14,3,1
20-04-2017,2,20,1,1,1,10,2,7
20-04-2017,2,20,4,1,1,34,3,3
20-04-2017,2,90,1,1,1,17,3,73
20-04-2017,2,90,1,1,2,44,3,3
20-04-2017,2,90,1,2,1,6,3,1
20-04-2017,2,90,1,2,2,19,3,2
20-04-2017,2,90,1,8,1,42,3,1
20-04-2017,2,90,1,8,2,13,3,1
20-04-2017,2,90,1,9,1,42,3,2
20-04-2017,2,90,4,1,1,34,3,9
20-04-2017,2,90,4,9,1,24,3,1
20-04-2017,2,90,6,1,1,20,3,2
20-04-2017,2,40,1,1,1,16,3,9
20-04-2017,2,50,1,1,1,43,3,3
20-04-2017,2,60,1,1,1,19,3,19
20-04-2017,2,60,1,2,2,34,3,1
20-04-2017,2,60,4,1,1,16,3,1
20-04-2017,2,60,6,1,1,29,3,2
20-04-2017,2,90,1,1,1,24,2,3
20-04-2017,2,90,1,9,-1,23,2,3
20-04-2017,2,90,5,9,-1,23,3,1
20-04-2017,2,40,1,1,1,3,3,1
20-04-2017,2,60,1,1,1,30,3,1
20-04-2017,3,60,1,1,1,22,3,1
20-04-2017,3,60,4,1,1,16,3,1
20-04-2017,3,70,1,1,1,15,3,3
20-04-2017,3,20,4,1,1,2,3,1
20-04-2017,3,90,1,1,1,7,3,2
20-04-2017,3,90,4,1,1,25,3,1
20-04-2017,3,90,4,1,4,43,3,1
20-04-2017,3,40,1,1,1,15,3,2
20-04-2017,3,50,1,1,1,15,2,1
20-04-2017,3,60,1,1,1,11,3,2
20-04-2017,3,60,1,1,1,18,3,1
20-04-2017,4,70,1,1,1,27,2,1
20-04-2017,4,90,1,1,1,33,3,3
20-04-2017,4,90,4,1,1,41,3,1
20-04-2017,4,60,1,1,1,13,3,1
20-05-2017,1,90,1,1,1,30,3,1
20-05-2017,1,90,1,1,2,25,3,1
20-05-2017,1,20,1,1,1,45,3,1
20-05-2017,1,20,1,2,2,43,3,1
20-05-2017,1,90,4,1,1,9,3,1
20-05-2017,1,90,4,1,2,31,3,1
20-05-2017,1,20,1,1,1,33,3,2
20-05-2017,1,90,1,1,1,48,3,2
20-05-2017,1,90,1,2,2,35,3,1
20-05-2017,1,40,4,1,1,43,3,1
20-05-2017,1,40,6,1,1,16,3,1
20-05-2017,1,70,1,1,1,11,3,2
20-05-2017,1,70,1,1,2,34,3,1
20-05-2017,1,70,1,2,2,33,3,3
20-05-2017,1,70,1,5,2,38,3,1
20-05-2017,1,70,4,1,1,7,3,1
20-05-2017,1,70,6,1,1,7,3,1
20-05-2017,1,70,6,1,2,34,3,1
20-05-2017,1,20,1,1,1,44,3,6
20-05-2017,1,20,1,2,2,33,3,1
20-05-2017,1,20,4,1,1,29,3,2
20-05-2017,1,90,1,1,1,42,3,28
20-05-2017,1,90,1,1,2,26,3,2
20-05-2017,1,90,1,2,2,10,3,6
20-05-2017,1,90,1,8,1,2,3,1
20-05-2017,1,90,1,8,2,15,3,1
20-05-2017,1,90,1,9,-1,18,3,1
20-05-2017,1,90,1,9,2,6,3,1
20-05-2017,1,90,4,1,1,27,3,7
20-05-2017,1,90,4,1,2,48,2,1
20-05-2017,1,90,4,2,2,18,3,1
20-05-2017,1,90,4,7,1,22,3,1
20-05-2017,1,90,4,9,1,37,3,2
20-05-2017,1,90,7,1,2,18,3,1
20-05-2017,1,90,7,9,1,5,3,1
20-05-2017,1,40,1,1,1,15,2,2
20-05-2017,1,40,1,2,2,9,3,2
20-05-2017,1,50,1,1,2,22,3,2
20-05-2017,1,60,1,1,1,5,2,3
20-05-2017,1,60,1,1,2,25,3,2
20-05-2017,1,60,1,2,2,23,3,6
20-05-2017,1,60,6,1,1,39,3,1
20-05-2017,1,60,6,2,2,14,2,1
20-05-2017,1,90,1,9,-1,1,3,2
20-05-2017,1,90,4,1,1,11,3,1
20-05-2017,1,90,6,1,1,30,3,1
20-05-2017,1,60,6,1,1,27,3,1
20-05-2017,1,70,1,1,2,46,3,1
20-05-2017,2,90,1,1,-1,43,3,1
20-05-2017,2,90,1,1,1,9,3,4
20-05-2017,2,90,1,2,2,41,3,3
20-05-2017,2,40,1,1,1,49,3,1
20-05-2017,2,50,1,1,1,9,2,1
20-05-2017,2,60,1,1,1,30,3,1
20-05-2017,2,60,1,2,2,43,3,1
20-05-2017,2,70,1,2,2,46,3,1
20-05-2017,2,20,4,1,1,1,3,1
20-05-2017,2,90,1,1,1,16,3,3
20-05-2017,2,90,1,2,1,15,3,1
20-05-2017,2,90,1,2,2,41,3,1
20-05-2017,2,60,1,2,2,44,2,1
20-05-2017,2,20,4,1,1,13,3,1
20-05-2017,2,90,1,1,1,45,3,7
20-05-2017,2,90,1,2,2,21,3,1
20-05-2017,2,90,4,1,1,46,3,2
20-05-2017,2,90,4,9,-1,37,3,1
20-05-2017,2,40,1,1,1,30,3,2
20-05-2017,2,40,1,1,2,41,3,1
20-05-2017,2,50,1,1,1,11,3,3
20-05-2017,2,50,1,1,2,18,3,1
20-05-2017,2,70,1,1,1,3,3,3
20-05-2017,2,70,1,2,2,48,3,2
20-05-2017,2,70,6,1,1,23,3,1
20-05-2017,2,20,1,1,1,24,3,10
20-05-2017,2,20,1,2,2,26,3,3
20-05-2017,2,20,1,9,-1,42,3,1
20-05-2017,2,20,4,1,1,9,3,1
20-05-2017,2,20,4,2,2,20,3,1
20-05-2017,2,90,1,1,-1,1,3,1
20-05-2017,2,90,1,1,1,45,1,63
20-05-2017,2,90,1,1,2,32,3,4
20-05-2017,2,90,1,2,2,43,3,10
20-05-2017,2,90,1,9,1,13,3,2
20-05-2017,2,90,4,1,1,2,3,8
20-05-2017,2,90,4,1,2,13,3,1
20-05-2017,2,90,4,8,2,42,3,1
20-05-2017,2,90,5,1,1,27,3,1
20-05-2017,2,90,7,1,1,3,3,1
20-05-2017,2,40,1,1,1,24,3,4
20-05-2017,2,40,4,1,1,30,3,1
20-05-2017,2,40,4,2,2,38,1,1
20-05-2017,2,40,4,9,-1,2,3,1
20-05-2017,2,50,1,1,1,14,3,4
20-05-2017,2,50,1,1,2,15,3,1
20-05-2017,2,60,1,1,1,16,3,8
20-05-2017,2,60,1,1,2,46,2,3
20-05-2017,2,60,1,2,2,37,2,4
20-05-2017,2,60,6,1,1,29,3,1
20-05-2017,2,60,6,1,2,8,3,1
20-05-2017,2,90,1,1,1,48,3,1
20-05-2017,2,90,6,1,1,32,3,1
20-05-2017,2,90,1,2,-1,3,3,1
20-05-2017,2,90,1,9,-1,18,3,2
20-05-2017,2,90,4,9,-1,35,3,1
20-05-2017,2,60,1,1,1,30,3,1
20-05-2017,3,60,1,1,2,12,2,1
20-05-2017,3,90,1,1,1,45,3,1
20-05-2017,3,40,1,1,1,39,3,1
20-05-2017,3,50,1,2,2,22,3,1
20-05-2017,3,70,1,1,1,5,3,1
20-05-2017,3,20,4,1,1,15,3,1
20-05-2017,3,90,1,1,1,11,3,4
20-05-2017,3,90,1,1,2,39,2,1
20-05-2017,3,90,1,2,2,21,2,1
20-05-2017,3,90,5,1,1,14,3,1
20-05-2017,3,40,1,1,1,1,3,2
20-05-2017,3,40,1,1,2,40,2,1
20-05-2017,3,50,1,1,1,25,3,1
20-05-2017,3,60,1,1,1,4,3,3
20-05-2017,3,60,1,1,2,4,2,1
20-05-2017,3,60,1,2,2,30,2,1
20-05-2017,3,20,1,1,1,50,2,1
20-05-2017,3,90,1,1,1,18,3,1
20-05-2017,4,90,1,1,1,22,2,2
20-05-2017,4,90,1,1,2,29,3,2
20-05-2017,4,40,1,1,1,37,3,1
20-05-2017,4,60,1,1,2,21,3,1
20-05-2017,5,90,1,2,2,42,3,1
20-05-2017,6,90,1,1,1,26,3,1
20-05-2017,6,90,1,1,2,32,3,1
20-06-2017,1,90,1,1,1,36,3,3
20-06-2017,1,20,1,1,1,31,3,2
20-06-2017,1,90,1,1,1,8,3,3
20-06-2017,1,90,4,1,1,17,3,1
20-06-2017,1,90,1,1,1,3,3,8
20-06-2017,1,90,4,1,1,12,3,1
20-06-2017,1,40,1,1,1,22,3,2
20-06-2017,1,60,6,1,1,34,2,1
20-06-2017,1,70,1,1,-1,12,3,1
20-06-2017,1,70,1,1,1,14,3,4
20-06-2017,1,20,1,1,1,5,3,5
